usnews_cs_rank,school,location,city,state,tie,source,source_file
88,University of Texas--Arlington,TX,,TX,True,U.S. News 2026 Best Computer Science Schools,usnews_index_copy.txt
88,Worcester Polytechnic Institute,"Worcester, MA",Worcester,MA,True,U.S. News 2026 Best Computer Science Schools,usnews_index_copy.txt
96,Binghamton University--SUNY,"Binghamton, NY",Binghamton,NY,True,U.S. News 2026 Best Computer Science Schools,usnews_index_copy.txt
96,Colorado State University,CO,,CO,True,U.S. News 2026 Best Computer Science Schools,usnews_index_copy.txt
96,Drexel University,"Philadelphia, PA",Philadelphia,PA,True,U.S. News 2026 Best Computer Science Schools,usnews_index_copy.txt
96,Illinois Institute of Technology,"Chicago, IL",Chicago,IL,True,U.S. News 2026 Best Computer Science Schools,usnews_index_copy.txt
96,Temple University,"Philadelphia, PA",Philadelphia,PA,True,U.S. News 2026 Best Computer Science Schools,usnews_index_copy.txt
96,University of Kansas,KS,,KS,True,U.S. News 2026 Best Computer Science Schools,usnews_index_copy.txt
96,University of Kentucky,KY,,KY,True,U.S. News 2026 Best Computer Science Schools,usnews_index_copy.txt
96,University of North Carolina--Charlotte,"Charlotte, NC",Charlotte,NC,True,U.S. News 2026 Best Computer Science Schools,usnews_index_copy.txt
96,University of South Carolina,SC,,SC,True,U.S. News 2026 Best Computer Science Schools,usnews_index_copy.txt
96,Washington State University,WA,,WA,True,U.S. News 2026 Best Computer Science Schools,usnews_index_copy.txt
106,Brandeis University,"Waltham, MA",Waltham,MA,True,U.S. News 2026 Best Computer Science Schools,usnews_index_copy.txt
106,Brigham Young University,"Provo, UT",Provo,UT,True,U.S. News 2026 Best Computer Science Schools,usnews_index_copy.txt
106,Florida International University,"Miami, FL",Miami,FL,True,U.S. News 2026 Best Computer Science Schools,usnews_index_copy.txt
106,Kansas State University,"Manhattan, KS",Manhattan,KS,True,U.S. News 2026 Best Computer Science Schools,usnews_index_copy.txt
106,Rutgers University--Newark,NJ,,NJ,True,U.S. News 2026 Best Computer Science Schools,usnews_index_copy.txt
106,Tulane University,"New Orleans, LA",New Orleans,LA,True,U.S. News 2026 Best Computer Science Schools,usnews_index_copy.txt
106,University of California--Merced,CA,,CA,True,U.S. News 2026 Best Computer Science Schools,usnews_index_copy.txt
106,University of Houston,"Houston, TX",Houston,TX,True,U.S. News 2026 Best Computer Science Schools,usnews_index_copy.txt
106,University of New Mexico,"Albuquerque, NM",Albuquerque,NM,True,U.S. News 2026 Best Computer Science Schools,usnews_index_copy.txt
115,Georgia State University,"Atlanta, GA",Atlanta,GA,True,U.S. News 2026 Best Computer Science Schools,usnews_index_copy.txt
115,Howard University,"Washington, DC",Washington,DC,True,U.S. News 2026 Best Computer Science Schools,usnews_index_copy.txt
115,Naval Postgraduate School,CA,,CA,True,U.S. News 2026 Best Computer Science Schools,usnews_index_copy.txt
115,The University of Oklahoma,"Norman, OK",Norman,OK,True,U.S. News 2026 Best Computer Science Schools,usnews_index_copy.txt
115,The University of Texas--San Antonio,"San Antonio, TX",San Antonio,TX,True,U.S. News 2026 Best Computer Science Schools,usnews_index_copy.txt
115,University at Albany--SUNY,"Albany, NY",Albany,NY,True,U.S. News 2026 Best Computer Science Schools,usnews_index_copy.txt
115,University of Alabama,"Tuscaloosa, AL",Tuscaloosa,AL,True,U.S. News 2026 Best Computer Science Schools,usnews_index_copy.txt
115,University of Cincinnati,"Cincinnati, OH",Cincinnati,OH,True,U.S. News 2026 Best Computer Science Schools,usnews_index_copy.txt
115,University of Hawaii--Manoa,HI,,HI,True,U.S. News 2026 Best Computer Science Schools,usnews_index_copy.txt
115,University of Missouri,MO,,MO,True,U.S. News 2026 Best Computer Science Schools,usnews_index_copy.txt
115,Wayne State University,"Detroit, MI",Detroit,MI,True,U.S. News 2026 Best Computer Science Schools,usnews_index_copy.txt
126,Louisiana State University--Baton Rouge,"Baton Rouge, LA",Baton Rouge,LA,True,U.S. News 2026 Best Computer Science Schools,usnews_index_copy.txt
126,Missouri University of Science & Technology,"Rolla, MO",Rolla,MO,True,U.S. News 2026 Best Computer Science Schools,usnews_index_copy.txt
126,Southern Methodist University,TX,,TX,True,U.S. News 2026 Best Computer Science Schools,usnews_index_copy.txt
126,University of Massachusetts--Boston,MA,,MA,True,U.S. News 2026 Best Computer Science Schools,usnews_index_copy.txt
126,University of Massachusetts--Lowell,"Lowell, MA",Lowell,MA,True,U.S. News 2026 Best Computer Science Schools,usnews_index_copy.txt
126,University of Miami,"Coral Gables, FL",Coral Gables,FL,True,U.S. News 2026 Best Computer Science Schools,usnews_index_copy.txt
126,University of Vermont,"Burlington, VT",Burlington,VT,True,U.S. News 2026 Best Computer Science Schools,usnews_index_copy.txt
133,CUNY Graduate School and University Center,"New York, NY",New York,NY,True,U.S. News 2026 Best Computer Science Schools,usnews_index_copy.txt
133,Florida Atlantic University,"Boca Raton, FL",Boca Raton,FL,True,U.S. News 2026 Best Computer Science Schools,usnews_index_copy.txt
133,Indiana University Indianapolis,IN,,IN,True,U.S. News 2026 Best Computer Science Schools,usnews_index_copy.txt
133,Michigan Technological University,"Houghton, MI",Houghton,MI,True,U.S. News 2026 Best Computer Science Schools,usnews_index_copy.txt
133,Mississippi State University,"Mississippi State, MS",Mississippi State,MS,True,U.S. News 2026 Best Computer Science Schools,usnews_index_copy.txt
133,Oklahoma State University,OK,,OK,True,U.S. News 2026 Best Computer Science Schools,usnews_index_copy.txt
133,Texas Tech University,"Lubbock, TX",Lubbock,TX,True,U.S. News 2026 Best Computer Science Schools,usnews_index_copy.txt
133,University of Arkansas--Fayetteville,AR,,AR,True,U.S. News 2026 Best Computer Science Schools,usnews_index_copy.txt
133,University of Louisiana--Lafayette,LA,,LA,True,U.S. News 2026 Best Computer Science Schools,usnews_index_copy.txt
133,University of Nevada--Las Vegas,"Las Vegas, NV",Las Vegas,NV,True,U.S. News 2026 Best Computer Science Schools,usnews_index_copy.txt
133,University of New Hampshire,NH,,NH,True,U.S. News 2026 Best Computer Science Schools,usnews_index_copy.txt
133,University of North Texas,TX,,TX,True,U.S. News 2026 Best Computer Science Schools,usnews_index_copy.txt
133,University of Rhode Island,"Kingston, RI",Kingston,RI,True,U.S. News 2026 Best Computer Science Schools,usnews_index_copy.txt
133,University of Texas--El Paso,"El Paso, TX",El Paso,TX,True,U.S. News 2026 Best Computer Science Schools,usnews_index_copy.txt
133,University of Wisconsin--Milwaukee,WI,,WI,True,U.S. News 2026 Best Computer Science Schools,usnews_index_copy.txt
133,Utah State University,UT,,UT,True,U.S. News 2026 Best Computer Science Schools,usnews_index_copy.txt
133,Virginia Commonwealth University,"Richmond, VA",Richmond,VA,True,U.S. News 2026 Best Computer Science Schools,usnews_index_copy.txt
133,West Virginia University,"Morgantown, WV",Morgantown,WV,True,U.S. News 2026 Best Computer Science Schools,usnews_index_copy.txt
151,Air Force Institute of Technology,OH,,OH,True,U.S. News 2026 Best Computer Science Schools,usnews_index_copy.txt
151,Boise State University,"Boise, ID",Boise,ID,True,U.S. News 2026 Best Computer Science Schools,usnews_index_copy.txt
151,DePaul University,IL,,IL,True,U.S. News 2026 Best Computer Science Schools,usnews_index_copy.txt
151,Florida Institute of Technology,"Melbourne, FL",Melbourne,FL,True,U.S. News 2026 Best Computer Science Schools,usnews_index_copy.txt
151,New Mexico State University,NM,,NM,True,U.S. News 2026 Best Computer Science Schools,usnews_index_copy.txt
151,Old Dominion University,"Norfolk, VA",Norfolk,VA,True,U.S. News 2026 Best Computer Science Schools,usnews_index_copy.txt
151,Portland State University,"Portland, OR",Portland,OR,True,U.S. News 2026 Best Computer Science Schools,usnews_index_copy.txt
151,Towson University,MD,,MD,True,U.S. News 2026 Best Computer Science Schools,usnews_index_copy.txt
151,University of Alabama at Birmingham,AL,,AL,True,U.S. News 2026 Best Computer Science Schools,usnews_index_copy.txt
151,University of Colorado--Colorado Springs,"Colorado Springs, CO",Colorado Springs,CO,True,U.S. News 2026 Best Computer Science Schools,usnews_index_copy.txt
151,University of Idaho,ID,,ID,True,U.S. News 2026 Best Computer Science Schools,usnews_index_copy.txt
