usnews_cs_rank,school,location,city,state,tie,official_url,cs_department_url,cs_jobs_url,faculty_jobs_url,careers_url,source,source_url,source_file,notes
46,North Carolina State University,NC,,NC,true,https://www.ncsu.edu/,https://www.csc.ncsu.edu/,https://csc.ncsu.edu/group/faculty/associate/,https://jobs.ncsu.edu/postings/search?utf8=%E2%9C%93&query=&query_v0_posted_at_date=&1196%5B%5D=10&1196%5B%5D=4&1196%5B%5D=11&commit=Search,https://jobs.ncsu.edu/,U.S. News 2026 Best Computer Science Schools,https://www.usnews.com/best-graduate-schools/top-computer-science-schools/computer-science-rankings,usnews_index_copy.txt,
46,University of Utah,UT,,UT,true,https://www.utah.edu/,https://www.cs.utah.edu/,https://www.cs.utah.edu/people/faculty/hiring/,https://www.utah.edu/faculty/,https://employment.utah.edu/,U.S. News 2026 Best Computer Science Schools,https://www.usnews.com/best-graduate-schools/top-computer-science-schools/computer-science-rankings,usnews_index_copy.txt,
46,Vanderbilt University,"Nashville, TN",Nashville,TN,true,https://www.vanderbilt.edu/,https://engineering.vanderbilt.edu/eecs/,https://engineering.vanderbilt.edu/eecs/open-positions,https://www.vanderbilt.edu/provost/jobs/,https://hr.vanderbilt.edu/,U.S. News 2026 Best Computer Science Schools,https://www.usnews.com/best-graduate-schools/top-computer-science-schools/computer-science-rankings,usnews_index_copy.txt,
46,Washington University in St. Louis,"St. Louis, MO",St. Louis,MO,true,https://wustl.edu/,https://cse.wustl.edu/,https://engineering.washu.edu/faculty/William-Yeoh.html,,,U.S. News 2026 Best Computer Science Schools,https://www.usnews.com/best-graduate-schools/top-computer-science-schools/computer-science-rankings,usnews_index_copy.txt,
51,Dartmouth College,NH,,NH,true,https://home.dartmouth.edu/,https://home.dartmouth.edu/academics,,,,U.S. News 2026 Best Computer Science Schools,https://www.usnews.com/best-graduate-schools/top-computer-science-schools/computer-science-rankings,usnews_index_copy.txt,
51,Indiana University--Bloomington,IN,,IN,true,,,,,,U.S. News 2026 Best Computer Science Schools,https://www.usnews.com/best-graduate-schools/top-computer-science-schools/computer-science-rankings,usnews_index_copy.txt,
51,University of California--Santa Cruz,"Santa Cruz, CA",Santa Cruz,CA,true,,,,,,U.S. News 2026 Best Computer Science Schools,https://www.usnews.com/best-graduate-schools/top-computer-science-schools/computer-science-rankings,usnews_index_copy.txt,
51,University of Florida,"Gainesville, FL",Gainesville,FL,true,https://www.ufl.edu/,https://www.ufl.edu/academics/,https://explore.jobs.ufl.edu/en-us/filter/?search-keyword=&work-type=adjunct%20faculty&work-type=faculty%20admin%20title&work-type=multi-track%20faculty&work-type=non-permanent%20status%20faculty&work-type=non-tenure-track%20faculty&work-type=other%20faculty&work-type=permanent%20status%20faculty&work-type=tenure-track%20faculty&job-mail-subscribe-privacy=agree,https://news.ufl.edu/for-faculty/,https://news.ufl.edu/2026/05/archaeology-masters/,U.S. News 2026 Best Computer Science Schools,https://www.usnews.com/best-graduate-schools/top-computer-science-schools/computer-science-rankings,usnews_index_copy.txt,
51,University of Pittsburgh,"Pittsburgh, PA",Pittsburgh,PA,true,https://www.pitt.edu/,https://www.sci.pitt.edu/,https://www.hr.pitt.edu/careers-pitt/why-work-pitt,https://www.join.pitt.edu/faculty-appointments,https://www.join.pitt.edu/,U.S. News 2026 Best Computer Science Schools,https://www.usnews.com/best-graduate-schools/top-computer-science-schools/computer-science-rankings,usnews_index_copy.txt,
56,Michigan State University,"East Lansing, MI",East Lansing,MI,true,https://msu.edu/,https://msu.edu/academics,,https://hr.msu.edu/faculty-academic-staff.html,https://hr.msu.edu/,U.S. News 2026 Best Computer Science Schools,https://www.usnews.com/best-graduate-schools/top-computer-science-schools/computer-science-rankings,usnews_index_copy.txt,
